课程名称,价格,报名人数,课程进度,课程机构
Kali渗透全方位实战/黑客/linux/网络安全/攻防/漏洞挖掘,0.0,103,共5节,掌控安全学院
VIP课程+大咖系列课,8777.22,381,课程10,魔贝课凡
Web前端高级进阶必备之Vue.js全家桶【软谋教育】,0.0,943,共2节,软谋教育
抖音教程新媒体营销短视频运营实战技巧,0.0,836,共1节,山本教育
java高级阶段（阶段三）,5677.22,402,共73节,拓薪教育
LayaAir2.0全栈开发,0.0,591,共11节,博毅创为大学堂
抖音快手Vlog|引流吸粉|自媒体|新媒体赚钱|大鱼号百家号头条号,0.0,45,共2节,榕意新媒体学院
软件测试-Python自动化提升班【乐搏学院Web/APP/接口自动化】,1462.22,582,开设4个班级,乐搏技术学院
原生js贪吃蛇游戏实战开发【渡一教育】,0.0,821,共1节,渡一教育
"JVM面试专题分享,Jvm调优java高级,Java架构师进阶【咕泡学院】",0.0,379,共1节,咕泡教育
Java分布式电影预告小程序后台实战项目【鲁班学院】,5362.22,11,共21节,鲁班学院
2020年 HTML+CSS 零基础权威入学宝典,0.0,5534,共11节,渡一教育
分布式架构-Redis高并发分布式锁,0.0,370,共5节,图灵学院
软件测试—零基础全程就业课程【动脑学院】,4562.22,5307,进度：16/16节,动脑学院
"Spring核心原理剖析,手写Spring,Java架构师进阶【咕泡学院】",0.0,1,共1节,咕泡教育
Java架构师培养计划-Level one,8177.22,391,随到随学,渡一教育
人工智能商业实战AI深度学习/机器学习/Python/大数据_咕泡教育,0.0,160,共10节,咕泡教育
10年经验 康sir - 8天学会实战型CCNA课程/CCNP/CCIE,0.0,164,共36节,新盟教育
马士兵/java/python/AI/从零到年薪百万,0.0,1688,共23节,马士兵老师
.NET高级开发VIP班,9077.22,9866,随到随学,软谋教育
Python核心编程基础,0.0,20,共12节,逻辑教育
大数据Hadoop离线/实时数据处理机器学习Flink/Spark/Storm_咕泡,0.0,4,共29节,咕泡教育
Python全栈开发,4662.22,2,课程2,六星云课堂
突破年薪40W#Python入门到实战【咕泡教育】,0.0,5992,共31节,咕泡教育
