course_name,course_number,course_organization,course_price,course_status
从基础到人像后期进阶,0人购买,好摄帮课堂,3162.22,课程2
【外研社版】三上+三下,37人购买,Jenny英语课堂,79.22,课程2
武百分2020执业/助理医师资格考试女性生殖系统考点精讲,3282人购买,武百分教育,77.22,共23节
原画人伪厚涂插画11期【醒爷】,02人购买,原画人在线学院,9172.22,进度：8/12节
course_name,course_number,course_organization,course_price,course_status
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训VIP体验,拼团,博为峰网校在线教育,2.23,共4节
【毕老师·消防全攻略】2020消防工程师入门课,737人购买,毕老师·消防全攻略,5.22,共5节
Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,109人购买,卓尔谟教育,8322.22,随到随学
json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,31人购买,学神IT教育,1462.22,进度：1/25节
工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,320人购买,卓尔谟教育,8322.22,随到随学
20省考冲刺+申论精讲,2人购买,抵岸教育,5622.22,课程4
VIP 2020淘宝实操爆款课程 一年制【优梯教育】,5273人购买,优梯教育,8162.22,开设2个班级
postman接口测试实战从入门到精通软件精品课【柠檬班】,166人购买,柠檬班,2.23,共10节
20年上半年省考申论精讲课,571人购买,抵岸教育,762.22,随到随学
【北京峰源】2019注册结构基础+专业考试精选课程,5919人购买,峰源教育,5.22,共47节
java自动化测试入门,3506人购买,柠檬班,2.23,共9节
山本教育素云VIP第10期恋爱技巧-脱单特训班,4204人购买,山本教育,3376.22,共7节
Python全栈软件自动化测试VIP课程【柠檬班】,308人购买,柠檬班,2.23,共28节
2019年GRE刷题营,7人购买,真佑教育,5477.22,课程2
Spring Cloud微服务实战,929人购买,享学课堂,66.22,共25节
AE+C4D影视后期特效视频 广告动画栏目包装设计师 平面电商美工班,拼团,木客教育,2.23,共34节
高薪就业+云架构师课,50人购买,学神IT教育,6122.22,课程2
2019室内设计全案班,870人购买,若水学院,8662.22,课程2
色彩美学班VIP课程包,805人购买,欧艾教育,876.22,课程2
超级学习法天才精英班三四年级,084人购买,广东世之峰教育网络科技有限公司,762.22,开设2个班级
自考线代+概率论组合（2020年4月）,5人购买,刘老师“慢”数学课堂,186.22,课程3
ProE /Creo工业产品设计结构辅助设计入门到精通课,55人购买,卓尔谟教育,8122.22,共32节
全面详解并实操SoapUI接口测试实战课程【柠檬班】,564人购买,柠檬班,2.23,共13节
高薪就业+云架构师课,52人购买,学神 IT 教育,6122.22,课程2
【NEXT学院】人人都会微信小程序,限时,腾讯课堂NEXT学院,0.72,共6节
《高级女装制版全套深造技术》第一期直播回放视频【艺服教育】,088人购买,艺服教育,9179.22,随到随学
java全栈自动化第7-17期（web自动化＋接口自动化+app自动化）,469人购买,柠檬班,1822.22,开设9个班级
Linux云计算架构班【包含集群+Jenkins+K8S+OpenStack+Python】,71人购买,新盟教育,7362.22,2020-4-1开讲
