course_name,course_organization,course_number,price,course_status
云计算方向Cloud 技术解析 实战学习华为认证HCNA/HCNP/HCIE,SPOTO思博网络,共46节,免费,173
掌控cisp/cissp/pte/国家级认证/kali/黑客信息安全/网络安全渗透,掌控安全学院,共3节,免费,326
十七期前端全栈精英班,京程一灯,课程2,15760.0,38
马哥linux教程-2019全新Nginx实战web服务企业实战,马哥教育,共1节,免费,307
JAVA架构师黄埔班,软谋教育,进度：8/11节,6499.0,1827
2019马哥最新版高端Linux运维云计算年薪30W经典入门教程,马哥教育,共15节,免费,1155
Web前端高级之javascript/js进阶实战【软谋教育】,软谋教育,共2节,免费,72
马哥python教程-Python框架Django开发实战,马哥教育,共2节,免费,348
软件测试-零基础全栈就业班-【乐搏学院27-35期】,乐搏技术学院,随到随学,7680.0,100
CCNA网络精品课之OSI七层模型,新盟教育,共2节,免费,18
"2小时通晓分布式架构10年来的演变,Java架构师进阶【咕泡学院】",咕泡教育,共1节,免费,54
JAVA涨薪突击班2020年面试Offer高并发分布式【动脑学院】,动脑学院,2020-3-8开讲,3999.0,23
CCNA网络精品课之网络是什么？,新盟教育,共22节,免费,18
新媒体的行业趋势 |从微信到抖音，了解新媒体全貌,起点学院,共1节,免费,65
H5大前端全栈提升VIP就业班直播课（八期）,扣丁学堂,进度：4/23节,7280.0,27
shell教程-2019全新Shell脚本入门教程,马哥教育,共1节,免费,202
CCNA网络精品课之OSPF,新盟教育,共1节,免费,20
年薪“50W+”高薪就业班,享学课堂,课程8,16880.0,0
"彻底理解单例,单例面试分享java高级,Java架构师进阶【咕泡学院】",咕泡教育,共1节,免费,72
python爬虫教程-马哥全新Python商业爬虫实战,马哥教育,共2节,免费,271
坦克大战+java架构师,马士兵老师,课程6,12480.0,327
黑客网络安全工程师/区块链/云计算/Linux运维测试/架构师/python,掌控安全学院,共5节,免费,157
Mysql读写分离【图灵学院】,图灵学院,共5节,免费,55
高薪大神就业班,杰越学院,课程2,8880.0,2
mysql教程-马哥2019全新Mysql配置和安装实战,马哥教育,共1节,免费,192
"Base64原理剖析,Base64面试java高级,Java架构师进阶【咕泡学院】",咕泡教育,共1节,免费,66
抖音快手 赠小课,网师学院,课程9,498.0,20
