course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/380679,C/C++零基础到精通项目实战,5061人最近报名,顿开教育,免费,共95节
//ke.qq.com/course/198201,Web前端开发高级进阶班【软谋教育】,3096人购买,软谋教育,¥9077.22,开设2个班级
//ke.qq.com/course/379808,Java架构/大数据/Hadoop/Flink/Spark/Python/机器学习【大讲台】,152人最近报名,大讲台,免费,共4节
//ke.qq.com/course/294308,【精品】抖音快手Vlog引流吸粉自媒体|新媒体赚钱|大鱼号百家号,395人最近报名,榕意新媒体学院,免费,共2节
//ke.qq.com/course/348893#term_id=100513744,中高级测试开发「名企定向培养」班-霍格沃兹测试学院,831人购买,霍格沃兹测试学院,¥52222,共47节
//ke.qq.com/course/329070#term_id=100513744,不止于就业前端技术|JavaScript底层核心|组件化开发|JS|Vue|Node,916人最近报名,妙思维JS++,免费,共28节
//ke.qq.com/course/277585#term_id=100513744,【免费试听】自媒体|新媒体运营 头条抖音Vlog大鱼百家企鹅号爆文,125人最近报名,榕意新媒体学院,免费,共5节
//ke.qq.com/course/package/22418,信息系统项目管理师-应试宝典,2人购买,清哥好课堂,¥476.22,课程5
//ke.qq.com/course/167312,【柠檬班】软件测试常用工具,70人最近报名,,免费,共6节
//ke.qq.com/course/466834,"Tomcat源码剖析分布式架构性能优化Tomcat,Java架构师_咕泡学院",592人最近报名,咕泡教育,免费,共1节
//ke.qq.com/course/253056,软件测试从小白到高手全程班【柠檬班】第66-60期,163人购买,,¥4162.22,随到随学
//ke.qq.com/course/277224,原生JS扫雷游戏实战开发【渡一教育】,345人最近报名,,免费,共1节
//ke.qq.com/course/436559,Zookeeper集群原理【图灵学院】,300人最近报名,,免费,共5节
//ke.qq.com/course/420891,软件测试之python自动化测试2(web自动化+app自动化+接口自动化）,5122人购买,,¥1462.22,随到随学
//ke.qq.com/course/430884,简明JDBC教程,587人最近报名,,免费,共5节
//ke.qq.com/course/447058,web前端学习之Javascript/js零基础到经典实战【软谋教育】,502人最近报名,软谋教育,免费,共4节
//ke.qq.com/course/package/19047,就业+NodeJS助力计划,2人购买,妙思维JS++,¥4762.22,课程3
//ke.qq.com/course/473384,性能调优专题-Java虚拟机性能调优与底层原理分析,353人最近报名,,免费,共6节
//ke.qq.com/course/package/23515,Python全栈开发,2人购买,六星云课堂,¥4662.22,课程2
//ke.qq.com/course/435156,Spring MVC源码剖析【图灵学院】,332人最近报名,,免费,共6节
//ke.qq.com/course/422892,Unity小白的游戏梦,571人最近报名,优梦创客,免费,共6节
//ke.qq.com/course/259471,SEM百度竞价培训|网络营销推广教程|360UC神马搜狗搜索引擎推广课,569人最近报名,魔贝课凡,免费,共13节
//ke.qq.com/course/package/22277,前端精英班十九期,3人购买,京程一灯,¥59622,课程2
//ke.qq.com/course/460732,kali渗透测试/web安全/白帽子黑客/网络安全/无线安全/入侵防御/,302人最近报名,领航者教育,免费,共6节
//ke.qq.com/course/441207,Linux运维教程之SSHd服（上）,36人最近报名,,免费,共5节
//ke.qq.com/course/396060,python高级软件测试开发第1-3期【柠檬班VIP】,550人购买,,¥53622,开设3个班级
//ke.qq.com/course/434740,华为HCNA/HCIA网络工程师全套实战教程（零基础小白入门到精通）,551人最近报名,新盟教育,免费,共13节
//ke.qq.com/course/436508,Go语言Golang入门至高级/micro/channel/goroutine/PHP区块链咕泡,554人最近报名,咕泡教育,免费,进度：3/3节
//ke.qq.com/course/351969,软件测试-零基础全栈就业班-【乐搏学院23-31期】,897人购买,乐搏技术学院,¥4162.22,随到随学
//ke.qq.com/course/172084,软件测试—零基础全程就业课程【动脑学院】,5307人购买,动脑学院,¥4562.22,进度：16/16节
//ke.qq.com/course/249054,0基础文案体验营——3天打开文案思维，提升工作表现,819人最近报名,,免费,共3节
//ke.qq.com/course/192413,松勤Python自动化测试（测试开发）全栈课程-试听课,032人最近报名,,免费,共10节
//ke.qq.com/course/440119,Axure原型实战班（系统学习最新的Axure9.0，已有5000+同学学习）,001人购买,,¥077.22,共87节
//ke.qq.com/course/219098,六IE认证专家 闫辉 教你真正的CCNA全套课程/CCNP/CCIE,124人最近报名,,免费,共29节
//ke.qq.com/course/198203,.NET高级开发VIP班,9866人购买,,¥9077.22,随到随学
//ke.qq.com/course/263848,闫辉  创新思科华为双厂商网络基础融合课程CCNA+HCNA=XCNA,590人最近报名,,免费,共26节
//ke.qq.com/course/159919,【松勤】软件测试从基础到高级全栈课程,166人最近报名,,免费,共17节
//ke.qq.com/course/240881,闫辉 HCIA+CCNA网络工程师入门篇,193人最近报名,,免费,共25节
//ke.qq.com/course/398855,【NEXT学院】Java全栈开发商业小程序,03人购买,腾讯课堂NEXT学院,¥077.22,共18节
//ke.qq.com/course/348775,C/C++入门到精通实战,346人最近报名,,免费,共66节
//ke.qq.com/course/225938,木泉boss-Linux高级架构师 挑战30W年薪 运维/集群/云计算,5546人最近报名,,免费,共33节
//ke.qq.com/course/398777,软件测试-Python自动化提升班【乐搏学院Web/APP/接口自动化】,582人购买,乐搏技术学院,¥1462.22,开设4个班级
