course_name,course_organization,course_price,course_status
VBA初级+提高系列课程,Excel学习乐园,¥356.22,课程2
CAD家具设计实战（室内板式定制家具衣柜橱柜酒柜-测量拆单报价）,云艺帆教育,¥3962.22,进度：3/5节
【摄影】人像摄影构图及应用/田德友/录播/中艺,中艺影像,¥17.22,共6节
原画人美宣插画7期【本命虎】,原画人在线学院,¥9172.22,进度：8/10节
python高级软件测试开发第1-3期【柠檬班VIP】,柠檬班,¥53622,开设3个班级
UG产品+模具全科班,学呀教育.,¥6666.22,课程5
U-Boot和系统移植套餐,朱有鹏物联网大讲堂,¥829.22,课程20
女神服装风格(线下+线上）,完颜形象教育,¥77.22,共16节
土木复试全程土力学和混凝土结构设计原理,志学鸿途教育学院,¥127.22,课程3
正式-室外建筑表现建筑设计-效果图3dmax+Photoshop渲染后期VIP班,云艺帆教育,¥3162.22,共6节
摄影高级进阶VIP班,光影学院,¥3762.22,随到随学
软件测试-零基础全栈就业班-【乐搏学院23-31期】,乐搏技术学院,¥4162.22,随到随学
2Ｄ/3Ｄ/ＡＦ/ＤＦ包,深圳学立行教育科技有限公司,¥9222.22,课程7
中考高考高分必备语法,北京朴易教育科技有限公司,¥5571.22,课程2
2020高考数学一轮复习系统班 sugar 王梦抒,晨露课堂,¥5977.22,共76节
初级会计职称-精讲班：经济法基础,菜子学院,¥076.22,开设8个班级
超级学习法天才精英班五六年级,广东世之峰教育网络科技有限公司,¥0762.22,开设2个班级
【VIP】速写基础-传统向漫画向【合尚教育】,合尚教育,¥5862.22,进度：12/25节
高三高考数学总复习,北京跨学网教育科技有限公司,¥391.22,课程2
亚马逊高级运营特训班 2020年百聚汇VIP学习卡,百聚汇商学院,¥7622.22,随到随学
武百分2020执业/助理医师资格考试呼吸系统考点精讲,武百分教育,¥47.22,共15节
老照片修复[全套]课程,王国君,¥5376.22,课程5
初二英语语法专题,北京跨学网教育科技有限公司,¥11.22,课程2
【巨皇教育】手淘首页淘宝小卖家，获取上万访客秘籍运营实操课程,巨皇教育,¥16.22,共4节
2020省考-片段阅读,晴教育,¥122.22,随到随学
软件测试—零基础全程就业课程【动脑学院】,动脑学院,¥4562.22,进度：16/16节
职业摄影师实战就业班,蜂鸟摄影微课堂,¥0777.22,课程6
2020年淘宝运营冲刺班,思睿电商学院,¥8162.22,2020-2-26开讲
VIP课程+大咖系列课,魔贝课凡,¥8777.22,课程10
2020宿阳生物｜7天再提20分一轮核心考点集锦,晨露课堂,,共6节
2019年中级财务管理精讲班,菜子学院,¥976.22,共22节
Axure原型实战班（系统学习最新的Axure9.0，已有5000+同学学习）,起点学院,¥077.22,共87节
自考本科 公共课全程班（英语+马原+近代史）,学程教育,¥334.22,课程7
原画人欧美卡通角色设计1期【铁匠】,原画人在线学院,¥9172.22,进度：3/5节
.NET高级开发VIP班,软谋教育,¥9077.22,随到随学
2020年高三数学一轮总复习,高中数学视频吧,¥77.22,课程8
Amazon亚马逊排名要素初窥、爆款打造技巧【卖家揭秘】,魔贝课凡,¥76.22,共10节
摄影后期VIP全科班,好摄帮课堂,¥8162.22,课程3
高一语文专题精讲,北京跨学网教育科技有限公司,¥377.22,课程7
原画人绘画进阶12期 【玉梨子，重渡】,原画人在线学院,¥0472.22,随到随学
CAD制图全能【出图1001个技巧】配套习题,云艺帆教育,¥022.22,共18节
【NEXT学院】Java全栈开发商业小程序,腾讯课堂NEXT学院,¥077.22,共18节
软件测试-Python自动化提升班【乐搏学院Web/APP/接口自动化】,乐搏技术学院,¥1462.22,开设4个班级
前端主管培养计划,丰橙学院,¥9662.22,课程5
Java高级软件测试开发第1-2期【柠檬班】,柠檬班,¥53622,开设2个班级
新2020 PS 108实训班/实操训练/老师指导/作业点评/第3代VIP课程,聚心恒教育,¥3082.22,随到随学
TWeb2019线上票（含录播）,TWeb Conf,¥577.22,课程4
摄影后期 全能班,蜂鸟摄影微课堂,¥8976.22,课程3
自然拼读+绘本拼读,e学苑在线教育,¥077.22,课程2
山本教育爱情管家挽回爱情婚姻提升情商/爱情管家,山本教育,¥9662.22,共3节
自考专科 公共课（思修+毛中特）全程班,学程教育,¥593.22,课程4
ArcGIS 10.X 入门实战视频教程（GIS思维）,GIS思维,¥16.22,共38节
【人教版】五上+五下,Jenny英语课堂,¥72.22,课程2
【坤哥物理】高一全年同步课 含必修一与必修二,蜜蜂优课,¥5566.22,课程2
亚马逊从零基础到精通,百聚汇商学院,¥9762.22,课程3
全网独家iOS自动化测试实战,柠檬班,¥076.22,共67节
自考行政（专）VIP全程班,学程教育,¥5262.22,课程11
精英续航系列-精讲班：实务【续航A班】,菜子学院,¥876.22,进度：17/28节
【VIP】学院之路-素描石膏像/绘画/美术/素描基础/人像,润木艺术,¥776.22,随到随学
手机摄影手机修图VIP,好摄帮课堂,¥577.22,课程2
名师真题大师课系列,机械工业出版社,¥566.22,课程3
